relative_path,size_bytes,sha256,category,thesis_linkage,status,notes
.gitignore,450,4142fb042c00539c4508c0d1b8f0def3dd84a2816b133b97da0ee509b1fd3e22,Repository documentation,Repository-wide,Repository documentation,
01_Chronology/README.md,707,7d4469a42c8c755bf0712acf182f5114b68f1898c64a18fb17dc7bcc9f59f3b8,Chronology and age-depth modelling,Chapters 4-6; Appendix B; S1-S2,Repository documentation,
01_Chronology/Supplementary_Data_S1_OxCal_scripts.oxcal,6510,df7f0c2f2dcb6127f47ae18fe1197982b9fc66e7a50f8e57d4184fb14ed98458,Chronology and age-depth modelling,Chapters 4-6; Appendix B; S1-S2,Final release file,
01_Chronology/Supplementary_Data_S1_OxCal_scripts.txt,6580,191c907427845d8142d9df7140531eedb76847cac01cc147056b22ea0aade685,Chronology and age-depth modelling,Chapters 4-6; Appendix B; S1-S2,Final release file,
01_Chronology/Supplementary_Data_S2_Full_age_depth_outputs.xlsx,39120,8451a5e21a9c0be6e7d2970ccd4636d8f5e8e479c79dab4b558989ccc5bf9772,Chronology and age-depth modelling,Chapters 4-6; Appendix B; S1-S2,Final release file,
02_ITRAX_MagSus/README.md,675,793d90ed894863af3c3a06fe522c2e8823c382ba8f63c79a9c79e00d8e7c881b,Sediment geochemistry and magnetic susceptibility,Chapters 4-6; Appendix C; S3-S4,Repository documentation,
02_ITRAX_MagSus/Supplementary_Data_S3_Original_ITRAX_MagSus_All_Sites.xlsx,1183928,b82089779fab97332a7573c87c9255d00d326c58418008e17fcd2748cc822f03,Sediment geochemistry and magnetic susceptibility,Chapters 4-6; Appendix C; S3-S4,Final release file,
02_ITRAX_MagSus/Supplementary_Data_S4_ITRAX_PCA_outputs.xlsx,450800,87118fc207d09262cf48d02018f9d2d7e8c6cc42025f47a7a702bdfcac6ab0b8,Sediment geochemistry and magnetic susceptibility,Chapters 4-6; Appendix C; S3-S4,Final release file,
03_ImageJ_Charcoal_Analysis/README.md,632,514d86b435124d5da8110eb25078f731c9ee1d82e2c1908efb1d95d049b8c35b,ImageJ charcoal quantification,Chapters 4-6; S5 and D3,Repository documentation,
03_ImageJ_Charcoal_Analysis/Raw_Quantification/D3_Charcoal_Quantification_Raw.xlsx,74479,5081f53350e5cc32557fbe7af7dc111515c4fcbcf415141d42ca47c248d4bf5d,ImageJ charcoal quantification,Chapters 4-6; S5 and D3,Final release file,
03_ImageJ_Charcoal_Analysis/Raw_Quantification/README.md,210,39bbedc62f598efc55562cb45ae558ab5463139c48b87f05165a91dca15b46c5,ImageJ charcoal quantification,Chapters 4-6; S5 and D3,Repository documentation,
03_ImageJ_Charcoal_Analysis/Supplementary_Data_S5_ImageJ_Charcoal_Count_Area.xlsx,20278176,fa0e864ac347f8f6d904ba269532d803b00b671e1139934f80ba1cab7bedc2cb,ImageJ charcoal quantification,Chapters 4-6; S5 and D3,Final release file,
04_CHAR_CharAnalysis/04_extract_CharAnalysis_outputs.R,2412,7bb1fbc651600068d37b4aa9964c59f8f457171897a6f64e5da0bfada0e5a43b,CHAR and CharAnalysis,Chapters 4-6; D1,Selected extraction script,Not a complete end-to-end charcoal analysis workflow.
04_CHAR_CharAnalysis/D1_CharAnalysis_Modern1900_Outputs.xlsx,63308,a3abc17d5462e187ee0d3e1f3c0078b5b92006ae7ea2dcac3489d8eb7102cfee,CHAR and CharAnalysis,Chapters 4-6; D1,Final release file,
04_CHAR_CharAnalysis/README.md,801,1b5446cb8d68668ad71d211755b501c4b745085f487ba59f4e7a3b2684c33f48,CHAR and CharAnalysis,Chapters 4-6; D1,Repository documentation,
05_Raman_Spectroscopy/00_Supplementary_Data_S6_Raman_Spectroscopy_Index.xlsx,6846,d5798bae8bf223251bb52ef805d6fe8fc7161c3308cbda03897627d71b3da981,Raman spectroscopy,Chapters 4-6; S6,Final release file,
05_Raman_Spectroscopy/README.md,2264,b0614163bcf8304309432f5935f20773dc76d6ab7bc4880dde82282773ffc2c2,Raman spectroscopy,Chapters 4-6; S6,Repository documentation,
05_Raman_Spectroscopy/S6_02_Calibration_Raman_Parameters_All_Species.xlsx,143883,613e31e6e3325318ad09baa861de836bb5faa0ebf6e486e2917f7cac9e199ecf,Raman spectroscopy,Chapters 4-6; S6,Final release file,
05_Raman_Spectroscopy/S6_04_ANOVA_Calibration_Experiment_Source.docx,1281488,4016926628880f01731222a9eda2cca3cc1cf272ebfd576ca6aaa87a1f218d35,Raman spectroscopy,Chapters 4-6; S6,Final release file,
05_Raman_Spectroscopy/S6_05_Baseline_Correction_Original.py,507,344e0433ae0971686fbd7a714c290f37845e0598fb84868b4862b56679aa184e,Raman spectroscopy,Chapters 4-6; S6,Historical code fragment,Not standalone executable; retained for methodological transparency.
